YouTube_ID,start seconds,label,train/test split,thumbnail,predicted_materials,predicted_sounds
-0aiCtGjNXE,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-0aiCtGjNXE/0.jpg,Metal,A car engine
-0p7hKXZ1ww,30,lighting firecrackers,test,https://img.youtube.com/vi/-0p7hKXZ1ww/0.jpg,Wood,A man is standing on a snowy road and holding a cell phone.
-0vPFx-wRRI,30,people finger snapping,test,https://img.youtube.com/vi/-0vPFx-wRRI/0.jpg,Drywall,"A man wearing a sailor's hat and uniform, with a big smile on his face."
-0yRK50zyTI,30,fire crackling,test,https://img.youtube.com/vi/-0yRK50zyTI/0.jpg,Wood,A video thumbnail of a person holding a typewriter and a person holding a sewing machine.
-17HGDPd8gE,30,waterfall burbling,train,https://img.youtube.com/vi/-17HGDPd8gE/0.jpg,Plastic,Pumping water
-1EXhfqLLwQ,150,pumping water,test,https://img.youtube.com/vi/-1EXhfqLLwQ/0.jpg,Ceramic,Pumping water
-1MClsMVlF0,54,lighting firecrackers,train,https://img.youtube.com/vi/-1MClsMVlF0/0.jpg,Dirt,A fire is burning in the field.
-1UP2kG24nM,50,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-1UP2kG24nM/0.jpg,Plastic,Pumping water
-1WK72M4xeg,220,driving motorcycle,train,https://img.youtube.com/vi/-1WK72M4xeg/0.jpg,Grass,Skateboarding
-1eOkp74EGU,105,lighting firecrackers,train,https://img.youtube.com/vi/-1eOkp74EGU/0.jpg,Plastic,Testing
-1eOkp74EGU,287,lighting firecrackers,train,https://img.youtube.com/vi/-1eOkp74EGU/0.jpg,Plastic,Testing
-1oRfe0FQI8,60,"railroad car, train wagon",train,https://img.youtube.com/vi/-1oRfe0FQI8/0.jpg,Metal,"A train

Question: What is the train?

"
-1pRmoJIGQc,10,car engine knocking,test,https://img.youtube.com/vi/-1pRmoJIGQc/0.jpg,Metal,A car engine
-1q0XHPxqe8,80,"race car, auto racing",train,https://img.youtube.com/vi/-1q0XHPxqe8/0.jpg,Plastic,A car show or a parking lot full of cars.
-25e5qcELvw,11,printer printing,train,https://img.youtube.com/vi/-25e5qcELvw/0.jpg,Metal,A video of a machine or robot making something.
-25e5qcELvw,21,printer printing,train,https://img.youtube.com/vi/-25e5qcELvw/0.jpg,Metal,A video of a machine or robot making something.
-2LHurwr5CQ,45,"subway, metro, underground",train,https://img.youtube.com/vi/-2LHurwr5CQ/0.jpg,Metal,"Subway, metro, underground"
-2LHurwr5CQ,95,"subway, metro, underground",train,https://img.youtube.com/vi/-2LHurwr5CQ/0.jpg,Metal,"Subway, metro, underground"
-2LJWaL2PuA,30,car passing by,train,https://img.youtube.com/vi/-2LJWaL2PuA/0.jpg,Dirt,"Race car, auto racing"
-2QyHTr4cJM,16,waterfall burbling,train,https://img.youtube.com/vi/-2QyHTr4cJM/0.jpg,Water,'pumping water'
-2X5YwLlICg,2,door slamming,train,https://img.youtube.com/vi/-2X5YwLlICg/0.jpg,Tile,A door
-2poGMEmbbk,98,using sewing machines,train,https://img.youtube.com/vi/-2poGMEmbbk/0.jpg,Plastic,Sewing Machine
-2poGMEmbbk,109,using sewing machines,train,https://img.youtube.com/vi/-2poGMEmbbk/0.jpg,Plastic,Sewing Machine
-2qJQqXbtZs,42,vacuum cleaner cleaning floors,train,https://img.youtube.com/vi/-2qJQqXbtZs/0.jpg,Ceramic,Pumping water
-2qJQqXbtZs,128,vacuum cleaner cleaning floors,train,https://img.youtube.com/vi/-2qJQqXbtZs/0.jpg,Ceramic,Pumping water
-2xjeuKOWwQ,120,lawn mowing,train,https://img.youtube.com/vi/-2xjeuKOWwQ/0.jpg,Plastic,A Honda motorcycle
-2xn5g7sfrU,44,basketball bounce,train,https://img.youtube.com/vi/-2xn5g7sfrU/0.jpg,Drywall,"You should choose from the ones on the ['pumping water', 'skateboarding', 'typing on typewriter', 'waterfall burbling', 'people finger snapping', 'toilet flushing', 'fire crackling', 'driving motorcycle', 'subway, metro, underground', 'printer printing', 'vacuum cleaner cleaning floors', 'race car, auto racing', 'motorboat, speedboat acceleration', 'fireworks banging', 'eating with cutlery', 'playing snare drum', 'cap gun shooting', 'railroad car, train wagon', 'people clapping', 'splashing water', 'raining', 'horse clip-clop', 'driving buses', 'people whistling', 'train wheels squealing', 'people burping', 'machine gun shooting', 'stream burbling', 'helicopter"
-3-4qmWSJXU,30,thunder,test,https://img.youtube.com/vi/-3-4qmWSJXU/0.jpg,Metal,A fire truck
-3ADZZS5luA,104,car engine starting,train,https://img.youtube.com/vi/-3ADZZS5luA/0.jpg,Metal,A black car.
-3EYaEWEfRE,30,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-3EYaEWEfRE/0.jpg,Water,Pumping water
-3M-k4nIYIM,30,car passing by,train,https://img.youtube.com/vi/-3M-k4nIYIM/0.jpg,Dirt,A man is talking on a cell phone.
-3MNphBfq_0,30,car passing by,train,https://img.youtube.com/vi/-3MNphBfq_0/0.jpg,Dirt,A car driving down a road.
-3YMCZ2AWW0,30,waterfall burbling,train,https://img.youtube.com/vi/-3YMCZ2AWW0/0.jpg,Rock,Pumping water
-3cXcRajPSc,30,raining,train,https://img.youtube.com/vi/-3cXcRajPSc/0.jpg,Metal,Pumping water
-3rHVsIj1M8,30,wind noise,test,https://img.youtube.com/vi/-3rHVsIj1M8/0.jpg,Metal,A boat
-3tQW7Zhl9U,380,helicopter,train,https://img.youtube.com/vi/-3tQW7Zhl9U/0.jpg,Dirt,A city street
-3yVqL0DWQE,30,car passing by,train,https://img.youtube.com/vi/-3yVqL0DWQE/0.jpg,Plastic,Driving motorcycle
-3z5mFRgbxc,30,driving buses,test,https://img.youtube.com/vi/-3z5mFRgbxc/0.jpg,Water,A video of a boat on a lake.
-4N3GjgnIQ0,260,"subway, metro, underground",train,https://img.youtube.com/vi/-4N3GjgnIQ0/0.jpg,Metal,"Subway, metro, underground"
-4ano7snqlI,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-4ano7snqlI/0.jpg,Plastic,A video of people on a boat.
-4eXuXHZw_A,30,playing snare drum,train,https://img.youtube.com/vi/-4eXuXHZw_A/0.jpg,Wood,Playing snare drum
-4k2KQXBucU,200,"race car, auto racing",train,https://img.youtube.com/vi/-4k2KQXBucU/0.jpg,Metal,Driving motorcycle
-4pmCrSdMhg,30,horse clip-clop,test,https://img.youtube.com/vi/-4pmCrSdMhg/0.jpg,Dirt,A video of a man tending to a black and white cow.
-4wjU1nWdjQ,30,stream burbling,train,https://img.youtube.com/vi/-4wjU1nWdjQ/0.jpg,Water,Pumping water
-5G8-A2YtEU,11,"engine accelerating, revving, vroom",train,https://img.youtube.com/vi/-5G8-A2YtEU/0.jpg,Metal,A blue car.
-5KBSlu3DQc,30,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-5KBSlu3DQc/0.jpg,Plastic,A man and a woman are paddling a blue canoe on a river.
-5QEN0mzCGA,15,car passing by,train,https://img.youtube.com/vi/-5QEN0mzCGA/0.jpg,Metal,"Race car, auto racing"
-5adN5KiLog,0,machine gun shooting,train,https://img.youtube.com/vi/-5adN5KiLog/0.jpg,Metal,Pumping water
-5ddA2hIm8M,30,car passing by,train,https://img.youtube.com/vi/-5ddA2hIm8M/0.jpg,Dirt,"Race car, auto racing"
-5qzWUgsszA,540,fireworks banging,train,https://img.youtube.com/vi/-5qzWUgsszA/0.jpg,Metal,Fireworks banging
-5xBp5NL0o4,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-5xBp5NL0o4/0.jpg,Water,Pumping water
-60vY5Xw1qE,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-60vY5Xw1qE/0.jpg,Plastic,"A motorboat, speedboat acceleration"
-62pV95k9O0,20,sliding door,train,https://img.youtube.com/vi/-62pV95k9O0/0.jpg,Metal,A man in a suit walking through a doorway.
-67jCOryxzQ,4,car engine knocking,train,https://img.youtube.com/vi/-67jCOryxzQ/0.jpg,Metal,Car engine knocking
-6A2L1U9b5Y,54,driving motorcycle,train,https://img.youtube.com/vi/-6A2L1U9b5Y/0.jpg,Metal,A motorcycle speedometer.
-6AOy8GAMpM,60,typing on computer keyboard,train,https://img.youtube.com/vi/-6AOy8GAMpM/0.jpg,Plastic,Typing on computer keyboard
-6BO5P5QkX4,68,fire crackling,train,https://img.youtube.com/vi/-6BO5P5QkX4/0.jpg,Wood,A fire is burning in the image.
-6BO5P5QkX4,174,fire crackling,train,https://img.youtube.com/vi/-6BO5P5QkX4/0.jpg,Wood,A fire is burning in the image.
-6CgEzqeZFk,169,lighting firecrackers,train,https://img.youtube.com/vi/-6CgEzqeZFk/0.jpg,Drywall,A man is standing in front of a burning bus.
-6PJbEt7NKg,30,people running,train,https://img.youtube.com/vi/-6PJbEt7NKg/0.jpg,Dirt,A man is walking up a hill.
-6ZEGCtBKqs,226,"railroad car, train wagon",train,https://img.youtube.com/vi/-6ZEGCtBKqs/0.jpg,Metal,A train car with a black tank on it.
-6c4gcyhjBA,5,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-6c4gcyhjBA/0.jpg,Water,Driving motorcycle
-6gxzS2ydY4,100,fireworks banging,train,https://img.youtube.com/vi/-6gxzS2ydY4/0.jpg,Plastic,Fireworks banging
-6izN98y0Hk,390,sailing,train,https://img.youtube.com/vi/-6izN98y0Hk/0.jpg,Wood,Sailing
-71Sh7BGYu8,250,church bell ringing,train,https://img.youtube.com/vi/-71Sh7BGYu8/0.jpg,Drywall,A church with a clock tower.
-7IhwezUrUA,590,eating with cutlery,test,https://img.youtube.com/vi/-7IhwezUrUA/0.jpg,Metal,A car engine starting
-7XFd8-F2oI,26,machine gun shooting,train,https://img.youtube.com/vi/-7XFd8-F2oI/0.jpg,Metal,A video of a man holding a gun.
-7_kMQrvjpE,58,"subway, metro, underground",train,https://img.youtube.com/vi/-7_kMQrvjpE/0.jpg,Glass,A video of people standing in front of a sign.
-7_kMQrvjpE,93,"subway, metro, underground",train,https://img.youtube.com/vi/-7_kMQrvjpE/0.jpg,Glass,A video of people standing in front of a sign.
-7cMtsWTtnQ,200,people clapping,train,https://img.youtube.com/vi/-7cMtsWTtnQ/0.jpg,Plastic,A woman with a ponytail.
-7hQNEhU6Vk,30,playing snare drum,train,https://img.youtube.com/vi/-7hQNEhU6Vk/0.jpg,Metal,Playing snare drum
-7uB0O_imb4,30,horse clip-clop,train,https://img.youtube.com/vi/-7uB0O_imb4/0.jpg,Metal,A video of a horse race.
-7uwQqneg8k,30,helicopter,train,https://img.youtube.com/vi/-7uwQqneg8k/0.jpg,Dirt,A video of a plane flying over a city.
-7y2MyFd9p4,30,"engine accelerating, revving, vroom",train,https://img.youtube.com/vi/-7y2MyFd9p4/0.jpg,Dirt,A car
-7zzPh_gKKc,8,car engine knocking,train,https://img.youtube.com/vi/-7zzPh_gKKc/0.jpg,Metal,A car engine
-8290BNLsas,180,skidding,train,https://img.youtube.com/vi/-8290BNLsas/0.jpg,Metal,A car driving down the street.
-8MQkHxpSaE,40,lighting firecrackers,train,https://img.youtube.com/vi/-8MQkHxpSaE/0.jpg,Drywall,Fireworks banging
-8MQkHxpSaE,52,lighting firecrackers,train,https://img.youtube.com/vi/-8MQkHxpSaE/0.jpg,Drywall,Fireworks banging
-8Nvvo3qM-A,30,toilet flushing,train,https://img.youtube.com/vi/-8Nvvo3qM-A/0.jpg,Ceramic,Toilet Flushing
-8S9TKWIOSc,30,chainsawing trees,train,https://img.youtube.com/vi/-8S9TKWIOSc/0.jpg,Wood,A man cutting down a tree.
-8YTu7ZGA2w,30,driving buses,train,https://img.youtube.com/vi/-8YTu7ZGA2w/0.jpg,Metal,A bus
-8ZOwkCXR1w,239,firing cannon,train,https://img.youtube.com/vi/-8ZOwkCXR1w/0.jpg,Wood,"A video of men in costumes, possibly dressed as British soldiers, standing next to a cannon and a barrel."
-8ju6V8B5Oc,40,toilet flushing,train,https://img.youtube.com/vi/-8ju6V8B5Oc/0.jpg,Ceramic,Toilet flushing
-8lGZavlNro,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-8lGZavlNro/0.jpg,Wood,"Motorboat, speedboat acceleration"
-9-BGrFFmgI,30,sailing,train,https://img.youtube.com/vi/-9-BGrFFmgI/0.jpg,Wood,Sailing
-91lUg0_Gl8,151,horse clip-clop,train,https://img.youtube.com/vi/-91lUg0_Gl8/0.jpg,Wood,A horse walking on a bridge.
-9GhPxGkpio,26,driving buses,train,https://img.youtube.com/vi/-9GhPxGkpio/0.jpg,Metal,Bus
-9HoMjD6Opk,30,chainsawing trees,train,https://img.youtube.com/vi/-9HoMjD6Opk/0.jpg,Wood,Chainsawing trees
-9KfxCfZg_4,0,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-9KfxCfZg_4/0.jpg,Plastic,100cc
-9NoQ1XeqS8,30,printer printing,train,https://img.youtube.com/vi/-9NoQ1XeqS8/0.jpg,Plastic,Printer Printing
-9OW8nLwvuY,30,"engine accelerating, revving, vroom",train,https://img.youtube.com/vi/-9OW8nLwvuY/0.jpg,Metal,A car engine
-9WmXSv1zeY,30,people burping,train,https://img.youtube.com/vi/-9WmXSv1zeY/0.jpg,Plastic,Eating with cutlery
-9df2qdbIJM,0,people clapping,train,https://img.youtube.com/vi/-9df2qdbIJM/0.jpg,Tile,A man playing a piano.
-9k2Z_hxYpU,130,helicopter,train,https://img.youtube.com/vi/-9k2Z_hxYpU/0.jpg,Plastic,A video of a helicopter flying over a field.
-9ummbDsgFM,30,chainsawing trees,train,https://img.youtube.com/vi/-9ummbDsgFM/0.jpg,Wood,A man is cutting a tree trunk with a chainsaw.
-9wRxzJ5j_Y,0,splashing water,train,https://img.youtube.com/vi/-9wRxzJ5j_Y/0.jpg,Water,Pumping water
-9yf3oNuowg,30,raining,train,https://img.youtube.com/vi/-9yf3oNuowg/0.jpg,Drywall,Apartment building
-A1o1Egi20c,60,church bell ringing,test,https://img.youtube.com/vi/-A1o1Egi20c/0.jpg,Drywall,A man and a woman sitting at a table.
-AAoQGFqftw,120,cap gun shooting,train,https://img.youtube.com/vi/-AAoQGFqftw/0.jpg,Metal,A video of a person holding a gun.
-ABOfhcXwt8,17,people running,test,https://img.youtube.com/vi/-ABOfhcXwt8/0.jpg,Plastic,A car driving down the street with a cow in the back.
-AFGfu5zOzQ,30,skateboarding,train,https://img.youtube.com/vi/-AFGfu5zOzQ/0.jpg,Plastic,Skateboarding
-AJ-i44WlRc,193,people finger snapping,train,https://img.youtube.com/vi/-AJ-i44WlRc/0.jpg,Metal,"A video thumbnail of a man in a red suit, with lightning bolts on his chest, holding his hands up."
-AJ-i44WlRc,273,people finger snapping,train,https://img.youtube.com/vi/-AJ-i44WlRc/0.jpg,Metal,"A video thumbnail of a man in a red suit, with lightning bolts on his chest, holding his hands up."
-ANxUxvGASw,10,"subway, metro, underground",test,https://img.youtube.com/vi/-ANxUxvGASw/0.jpg,Metal,"Subway, metro, underground"
-AYTdHxF3MQ,25,wind noise,train,https://img.youtube.com/vi/-AYTdHxF3MQ/0.jpg,Metal,A video of a windmill.
-AYbRvMHKi8,95,lighting firecrackers,train,https://img.youtube.com/vi/-AYbRvMHKi8/0.jpg,Plastic,Fireworks banging
-AdWXq6teXg,30,horse clip-clop,train,https://img.youtube.com/vi/-AdWXq6teXg/0.jpg,Dirt,A person riding a horse.
-AfJKhf6P3U,30,horse clip-clop,train,https://img.youtube.com/vi/-AfJKhf6P3U/0.jpg,Leaf,A horse riding down a dirt road.
-AioliAg12U,10,"railroad car, train wagon",train,https://img.youtube.com/vi/-AioliAg12U/0.jpg,Metal,A train is traveling down the tracks.
-AltV1ftMk8,170,people clapping,train,https://img.youtube.com/vi/-AltV1ftMk8/0.jpg,Metal,A person playing a trombone.
-Am9MfJ6Z2o,60,eating with cutlery,test,https://img.youtube.com/vi/-Am9MfJ6Z2o/0.jpg,Metal,A plate of food
-Aqjx8NLZuU,70,wind noise,train,https://img.youtube.com/vi/-Aqjx8NLZuU/0.jpg,Plastic,A video of a hot air balloon.
-Asxv7Yv2mo,50,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-Asxv7Yv2mo/0.jpg,Plastic,Sailing
-Az-P2YqdRU,30,skidding,train,https://img.youtube.com/vi/-Az-P2YqdRU/0.jpg,Metal,"Race car, auto racing"
-B-HOrOK4PQ,50,lawn mowing,train,https://img.youtube.com/vi/-B-HOrOK4PQ/0.jpg,Grass,Pumping water
-B7CokGOR1s,85,lighting firecrackers,train,https://img.youtube.com/vi/-B7CokGOR1s/0.jpg,Plastic,Fireworks banging
-B7CokGOR1s,109,lighting firecrackers,train,https://img.youtube.com/vi/-B7CokGOR1s/0.jpg,Plastic,Fireworks banging
-BDSrWLpZrE,50,printer printing,train,https://img.youtube.com/vi/-BDSrWLpZrE/0.jpg,Plastic,A printer
-BGebo8V4XY,0,driving motorcycle,train,https://img.youtube.com/vi/-BGebo8V4XY/0.jpg,Dirt,Driving motorcycle
-BIuMd0jCjU,10,helicopter,train,https://img.youtube.com/vi/-BIuMd0jCjU/0.jpg,Leaf,Aircraft
-BZ6I5i_kW4,0,toilet flushing,train,https://img.youtube.com/vi/-BZ6I5i_kW4/0.jpg,Plastic,Pumping water
-BZD5cNDyNc,380,wind noise,train,https://img.youtube.com/vi/-BZD5cNDyNc/0.jpg,Metal,A ship in the ocean.
-BaMFLQMRWg,90,stream burbling,train,https://img.youtube.com/vi/-BaMFLQMRWg/0.jpg,Rock,A video of a stream burbling.
-BrnUAUA37o,30,chainsawing trees,train,https://img.youtube.com/vi/-BrnUAUA37o/0.jpg,Wood,Chainsawing trees
-CA85zgJgKM,30,people shuffling,train,https://img.youtube.com/vi/-CA85zgJgKM/0.jpg,Plastic,Skateboarding
-CI9mVOAK-k,30,playing snare drum,train,https://img.youtube.com/vi/-CI9mVOAK-k/0.jpg,Metal,A drum
-CPm5WUgPxs,88,fire crackling,train,https://img.youtube.com/vi/-CPm5WUgPxs/0.jpg,Wood,Fire
-CPm5WUgPxs,184,fire crackling,train,https://img.youtube.com/vi/-CPm5WUgPxs/0.jpg,Wood,Fire
-CZ1LIc8aos,20,car passing by,test,https://img.youtube.com/vi/-CZ1LIc8aos/0.jpg,Metal,"Race car, auto racing"
-CfhAXuBCJQ,118,basketball bounce,train,https://img.youtube.com/vi/-CfhAXuBCJQ/0.jpg,Metal,Skateboarding
-Chm_TzeYjA,40,wind rustling leaves,train,https://img.youtube.com/vi/-Chm_TzeYjA/0.jpg,Leaf,A car driving down the street.
-CsnNy_s4EY,30,car passing by,train,https://img.youtube.com/vi/-CsnNy_s4EY/0.jpg,Metal,Driving buses
-DHGwygUsQc,30,skateboarding,train,https://img.youtube.com/vi/-DHGwygUsQc/0.jpg,Drywall,Skateboarding
-DHzLavApwc,12,sliding door,train,https://img.youtube.com/vi/-DHzLavApwc/0.jpg,Drywall,A video thumbnail of a white wall with a black frame.
-DPpAs6owBI,65,people burping,train,https://img.youtube.com/vi/-DPpAs6owBI/0.jpg,Ceramic,A video of a man eating food.
-DSNfC2EJhU,20,toilet flushing,train,https://img.youtube.com/vi/-DSNfC2EJhU/0.jpg,Ceramic,Toilet flushing
-DUbVX0TRTA,12,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-DUbVX0TRTA/0.jpg,Plastic,Pumping water
-DVM0BK_h5A,30,chainsawing trees,train,https://img.youtube.com/vi/-DVM0BK_h5A/0.jpg,Wood,A chainsaw.
-DXq8b_yfTQ,240,wind noise,train,https://img.youtube.com/vi/-DXq8b_yfTQ/0.jpg,Water,Pumping water
-DaNn4McBi8,0,door slamming,train,https://img.youtube.com/vi/-DaNn4McBi8/0.jpg,Drywall,A video thumbnail that shows a person typing on a typewriter.
-DrChjJRNIk,80,"subway, metro, underground",train,https://img.youtube.com/vi/-DrChjJRNIk/0.jpg,Metal,"Subway, metro, underground"
-DrSYwxg_eM,30,waterfall burbling,train,https://img.youtube.com/vi/-DrSYwxg_eM/0.jpg,Water,Pumping water
-DsLaGntv9s,18,stream burbling,train,https://img.youtube.com/vi/-DsLaGntv9s/0.jpg,Water,A car driving through a river.
-EFu7tP-QEk,30,toilet flushing,train,https://img.youtube.com/vi/-EFu7tP-QEk/0.jpg,Ceramic,Toilet flushing
-EGv9SjbqXs,30,sliding door,train,https://img.youtube.com/vi/-EGv9SjbqXs/0.jpg,Wood,Pumping water
-EXGVV11btY,340,church bell ringing,train,https://img.youtube.com/vi/-EXGVV11btY/0.jpg,Drywall,A castle
-EaZ7EJJUl0,50,eating with cutlery,train,https://img.youtube.com/vi/-EaZ7EJJUl0/0.jpg,Ceramic,A plate of food
-Ena0OylxH8,2,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-Ena0OylxH8/0.jpg,Plastic,"Motorboat, speedboat acceleration"
-Etzr_L-R1E,30,lawn mowing,train,https://img.youtube.com/vi/-Etzr_L-R1E/0.jpg,Grass,Lawn mowing
-F6GfPwjLWo,30,toilet flushing,train,https://img.youtube.com/vi/-F6GfPwjLWo/0.jpg,Ceramic,Toilet flushing
-FETUSTJUo4,10,people farting,train,https://img.youtube.com/vi/-FETUSTJUo4/0.jpg,Plastic,A video thumbnail of a person holding a fan.
-FFeLquyrFQ,0,basketball bounce,train,https://img.youtube.com/vi/-FFeLquyrFQ/0.jpg,Drywall,Basketball bounce
-FWxy7eaFJE,30,waterfall burbling,train,https://img.youtube.com/vi/-FWxy7eaFJE/0.jpg,Dirt,A car driving through a flooded street.
-FakAjtg2uk,25,opening or closing drawers,train,https://img.youtube.com/vi/-FakAjtg2uk/0.jpg,Wood,A drawer
-Fca00UwCy0,49,machine gun shooting,train,https://img.youtube.com/vi/-Fca00UwCy0/0.jpg,Metal,"A British soldier is sitting on a tank, and the image is in black and white."
-Fec3Hn9D5I,13,church bell ringing,train,https://img.youtube.com/vi/-Fec3Hn9D5I/0.jpg,Drywall,A church with a clock tower.
-Fec3Hn9D5I,42,church bell ringing,train,https://img.youtube.com/vi/-Fec3Hn9D5I/0.jpg,Drywall,A church with a clock tower.
-FkTCBKMl_8,0,pumping water,train,https://img.youtube.com/vi/-FkTCBKMl_8/0.jpg,Dirt,A video of people working on a farm.
-FnocfLZGPc,30,waterfall burbling,train,https://img.youtube.com/vi/-FnocfLZGPc/0.jpg,Rock,A video of a mountain with a fence in front of it.
-FtiJ38WHYM,50,stream burbling,train,https://img.youtube.com/vi/-FtiJ38WHYM/0.jpg,Plastic,pumping water
-G0mYaQJhig,360,"railroad car, train wagon",train,https://img.youtube.com/vi/-G0mYaQJhig/0.jpg,Metal,A train on the tracks.
-G7eX4G5Frc,60,skidding,train,https://img.youtube.com/vi/-G7eX4G5Frc/0.jpg,Dirt,A car driving on a road.
-GDkljH9Hsg,11,wind noise,train,https://img.youtube.com/vi/-GDkljH9Hsg/0.jpg,Wood,A house under construction
-GHPfOXLP2o,90,"race car, auto racing",train,https://img.youtube.com/vi/-GHPfOXLP2o/0.jpg,Grass,A car driving down the road.
-GJ-yBIiXZ8,120,driving motorcycle,train,https://img.youtube.com/vi/-GJ-yBIiXZ8/0.jpg,Brick,Driving motorcycle
-GLk6G9U09A,30,driving buses,train,https://img.youtube.com/vi/-GLk6G9U09A/0.jpg,Metal,Driving buses
-GM-ogU1Q4s,21,horse clip-clop,train,https://img.youtube.com/vi/-GM-ogU1Q4s/0.jpg,Dirt,Driving motorcycle
-GTJNoTd14k,30,car passing by,train,https://img.youtube.com/vi/-GTJNoTd14k/0.jpg,Metal,Racing Car
-GW9--61qGI,0,people whistling,train,https://img.youtube.com/vi/-GW9--61qGI/0.jpg,Plastic,A video of a man holding a box of snacks.
-GnKRy1-NFo,150,chainsawing trees,train,https://img.youtube.com/vi/-GnKRy1-NFo/0.jpg,Wood,A man with a beard and a hat standing next to a tree.
-GpKqk_i0JU,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-GpKqk_i0JU/0.jpg,Plastic,"Motorboat, speedboat acceleration"
-Gq9GTPeFow,9,car engine knocking,train,https://img.youtube.com/vi/-Gq9GTPeFow/0.jpg,Metal,A car engine
-Gq9GTPeFow,20,car engine knocking,train,https://img.youtube.com/vi/-Gq9GTPeFow/0.jpg,Metal,A car engine
-GqQBNJ9yz8,30,car passing by,train,https://img.youtube.com/vi/-GqQBNJ9yz8/0.jpg,Metal,"Race car, auto racing"
-Gr9P8Abnlk,110,toilet flushing,test,https://img.youtube.com/vi/-Gr9P8Abnlk/0.jpg,Plastic,"A video thumbnail of a man and a large, furry, alien-like creature."
-GxNDcOTjOg,102,basketball bounce,train,https://img.youtube.com/vi/-GxNDcOTjOg/0.jpg,Metal,A man playing basketball.
-GxNDcOTjOg,146,basketball bounce,train,https://img.youtube.com/vi/-GxNDcOTjOg/0.jpg,Metal,A man playing basketball.
